,longitude,latitude,arvT,levT,stayTime,distance
1,113.907068,22.579085,1/1/2018 0:00,11/20/2018 10:35,38129,0
2,114.03527,22.616651,11/20/2018 10:37,2/25/2019 10:05,84497,0
3,110.304748,25.355926,2/25/2019 10:07,2/25/2019 10:21,873,0
4,110.304481,25.352994,2/25/2019 11:05,2/25/2019 11:12,381,0
5,110.304512,25.352939,2/25/2019 11:12,2/25/2019 11:36,1479,0
6,110.304466,25.352996,2/25/2019 11:40,2/25/2019 13:16,5808,0
7,110.311195,25.316646,2/25/2019 13:36,2/25/2019 13:43,412,0
8,110.304244,25.317869,2/25/2019 13:46,2/25/2019 17:36,13820,0
9,110.30384,25.319543,2/25/2019 17:40,2/25/2019 17:48,527,0
10,110.300079,25.303159,2/25/2019 17:57,2/25/2019 20:15,8269,0
11,110.303817,25.318164,2/25/2019 20:23,2/26/2019 12:37,58442,0
12,110.159912,25.242895,2/26/2019 14:11,2/26/2019 14:45,2024,0
13,110.190086,25.236995,2/26/2019 14:54,2/26/2019 15:02,447,0
14,110.190078,25.236995,2/26/2019 15:02,2/26/2019 15:41,2334,0
15,110.20182,25.246604,2/26/2019 15:52,2/26/2019 16:21,1743,0
16,110.185539,25.273435,2/26/2019 16:30,2/26/2019 16:36,368,0.444779707
17,110.185546,25.273443,2/26/2019 16:36,2/26/2019 16:48,727,0
18,110.311714,25.375968,2/26/2019 18:21,2/26/2019 20:38,8198,0
19,110.304229,25.317811,2/27/2019 14:06,2/27/2019 15:23,4586,0
20,110.310417,25.35617,2/27/2019 15:45,2/27/2019 16:01,955,0
21,110.309509,25.356416,2/27/2019 16:09,2/27/2019 16:28,1122,0
22,110.300376,25.341884,2/27/2019 16:43,2/27/2019 16:54,686,0
23,110.302101,25.328773,2/27/2019 17:06,2/27/2019 17:15,558,0
24,110.302093,25.328773,2/27/2019 17:15,2/27/2019 17:27,679,0
25,110.304367,25.349546,2/27/2019 17:59,2/27/2019 20:36,9436,0
26,110.304367,25.352996,2/27/2019 20:41,2/27/2019 20:54,799,0.222389853
27,110.304382,25.353126,2/27/2019 21:18,2/28/2019 10:56,49049,0
28,110.314826,25.35069,2/28/2019 11:03,2/28/2019 11:31,1717,0
29,110.305274,25.318498,2/28/2019 11:56,2/28/2019 14:03,7608,0
30,110.3097,25.373403,2/28/2019 15:32,2/28/2019 16:29,3423,0
31,110.302536,25.35633,2/28/2019 16:34,2/28/2019 17:00,1572,0
32,110.304611,25.353031,2/28/2019 17:10,3/1/2019 9:18,58055,0
33,110.303924,25.318227,3/1/2019 9:44,3/1/2019 14:19,16496,0
34,110.354454,25.413389,3/1/2019 15:04,3/1/2019 15:11,423,0
35,110.355064,25.413713,3/1/2019 15:13,3/1/2019 15:22,517,0
36,110.303482,25.350767,3/1/2019 17:09,3/1/2019 17:16,409,0
37,110.303611,25.350782,3/1/2019 17:18,3/1/2019 17:29,697,0
38,110.303611,25.350826,3/1/2019 17:30,3/1/2019 17:35,333,0
39,110.303611,25.350833,3/1/2019 17:35,3/1/2019 18:55,4786,0
40,110.304443,25.353,3/1/2019 19:01,3/2/2019 10:12,54635,0
41,110.289634,25.28486,3/2/2019 11:38,3/2/2019 12:51,4389,0
42,110.299507,25.317665,3/2/2019 13:02,3/2/2019 14:01,3564,0
43,110.304588,25.353012,3/2/2019 14:23,3/3/2019 16:17,6879,0
44,110.304275,25.317811,3/4/2019 10:21,3/4/2019 10:31,583,0
45,110.304275,25.317804,3/4/2019 10:31,3/4/2019 11:10,2345,0
46,110.251701,25.265085,3/4/2019 12:33,3/4/2019 13:02,1720,0
47,110.260726,25.275306,3/4/2019 13:14,3/4/2019 14:27,4389,0
48,110.304084,25.317979,3/6/2019 9:33,3/6/2019 9:41,516,0
49,110.312004,25.316278,3/6/2019 11:03,3/6/2019 11:12,548,0
50,110.30426,25.317716,3/6/2019 11:31,3/6/2019 17:45,22408,0
51,110.304176,25.317762,3/7/2019 8:26,3/7/2019 9:15,2937,0
52,110.275497,25.270009,3/7/2019 9:37,3/7/2019 9:55,1035,0
53,110.275459,25.269996,3/7/2019 9:55,3/7/2019 10:03,481,0
54,110.277107,25.25057,3/7/2019 10:10,3/7/2019 10:40,1792,0
55,110.274314,25.239389,3/7/2019 10:42,3/7/2019 11:10,1702,0
56,110.284225,25.229953,3/7/2019 11:13,3/7/2019 11:44,1846,0
57,110.190086,25.250494,3/7/2019 12:24,3/7/2019 12:32,486,0
58,110.194747,25.24686,3/7/2019 12:41,3/7/2019 13:12,1874,0
59,110.283004,25.207586,3/7/2019 13:32,3/7/2019 13:38,334,0
60,110.282455,25.206321,3/7/2019 13:40,3/7/2019 13:47,422,0.222389853
61,110.296028,25.225862,3/7/2019 14:18,3/7/2019 14:30,727,0
62,110.299659,25.226703,3/7/2019 14:34,3/7/2019 15:03,1772,0
63,110.302223,25.234445,3/7/2019 15:14,3/7/2019 15:28,804,0
64,110.300781,25.232473,3/7/2019 15:33,3/7/2019 15:44,622,0
65,110.221603,25.294517,3/7/2019 16:53,3/7/2019 17:08,888,0
66,110.287765,25.273813,3/7/2019 17:53,3/7/2019 18:24,1863,0
67,110.304267,25.317752,3/7/2019 19:17,3/7/2019 20:05,2870,0
68,110.304298,25.317783,3/7/2019 20:05,3/7/2019 20:48,2595,0
69,110.304595,25.353073,3/7/2019 21:16,3/8/2019 8:16,39634,0
70,110.300292,25.322005,3/8/2019 8:27,3/8/2019 8:40,783,0.444779707
71,109.405677,25.224386,3/8/2019 12:22,3/8/2019 13:47,5088,0
72,109.414482,25.234144,3/8/2019 13:50,3/8/2019 14:10,1243,0
73,109.208831,23.732221,3/8/2019 16:54,3/8/2019 17:49,3293,0
74,109.382965,24.325809,3/9/2019 12:18,3/9/2019 13:06,2874,0
75,110.322731,25.251039,3/9/2019 19:14,3/9/2019 21:01,6454,0
76,110.313201,25.317541,3/9/2019 21:25,3/9/2019 21:43,1044,0
77,110.313049,25.317502,3/9/2019 21:43,3/9/2019 22:11,1664,0
78,110.304412,25.353055,3/9/2019 22:24,3/10/2019 7:53,34157,0
79,110.311897,25.316307,3/10/2019 8:10,3/10/2019 8:23,754,0
80,110.281883,25.277185,3/10/2019 9:05,3/10/2019 10:14,4153,0
81,110.304573,25.353134,3/10/2019 10:55,3/10/2019 14:05,11383,0
82,110.398895,25.190134,3/10/2019 15:38,3/10/2019 16:31,3205,0
83,110.354492,25.228689,3/10/2019 17:04,3/10/2019 17:55,3057,0
84,110.31974,25.272926,3/10/2019 19:27,3/10/2019 20:13,2767,0
85,110.319786,25.2725,3/10/2019 21:09,3/10/2019 21:22,752,0
86,110.304542,25.352865,3/10/2019 22:31,3/11/2019 8:55,37446,0
87,110.354461,25.413707,3/11/2019 9:10,3/11/2019 9:16,355,0
88,110.303962,25.318212,3/11/2019 10:05,3/11/2019 13:58,14026,0
89,110.304466,25.352994,3/11/2019 14:33,3/12/2019 8:37,65073,0
90,108.650764,24.480133,3/13/2019 11:13,3/13/2019 12:28,4517,0
91,108.253128,24.833105,3/13/2019 14:43,3/13/2019 14:54,651,0
92,108.258186,24.837987,3/13/2019 15:26,3/14/2019 2:23,39382,0
93,108.257324,24.826822,3/14/2019 2:28,3/14/2019 11:46,33519,0
94,108.247924,24.829341,3/14/2019 11:55,3/14/2019 12:06,614,0
95,108.096923,24.685207,3/14/2019 13:20,3/14/2019 13:38,1026,0
96,108.095474,24.699531,3/14/2019 14:13,3/14/2019 15:39,5184,0
97,108.029861,24.690553,3/14/2019 18:44,3/15/2019 8:15,48660,0
98,111.132888,25.439184,3/15/2019 22:07,3/15/2019 23:46,5956,0
99,111.132942,25.439113,3/15/2019 23:50,3/16/2019 4:30,16805,0
100,111.132926,25.439203,3/16/2019 6:19,3/16/2019 11:28,18504,0
101,111.132926,25.439226,3/16/2019 13:38,3/16/2019 14:01,1400,0
102,111.132934,25.439189,3/16/2019 14:01,3/16/2019 14:31,1817,0
103,111.132888,25.439208,3/16/2019 15:26,3/17/2019 2:14,38923,0
104,111.132911,25.439191,3/17/2019 5:03,3/17/2019 12:59,28536,0
105,111.157951,25.483531,3/17/2019 13:01,3/17/2019 13:06,336,0
106,111.158012,25.483518,3/17/2019 13:06,3/17/2019 13:29,1343,0
107,111.133049,25.439167,3/17/2019 13:40,3/17/2019 13:45,309,0.111194926
108,111.132965,25.439121,3/17/2019 13:45,3/17/2019 13:56,682,0
109,111.133308,25.439542,3/17/2019 14:37,3/17/2019 14:44,396,0
110,111.133049,25.43914,3/17/2019 15:25,3/17/2019 15:48,1401,0
111,111.133033,25.43913,3/17/2019 15:48,3/17/2019 17:36,6432,0
112,111.15802,25.483535,3/17/2019 18:49,3/18/2019 8:04,47723,0
113,111.133041,25.439151,3/18/2019 8:18,3/18/2019 12:19,14476,0
114,110.327186,25.270425,3/18/2019 16:06,3/18/2019 16:37,1857,0
115,110.304428,25.352956,3/18/2019 17:29,3/18/2019 20:29,10779,0
116,110.304405,25.353034,3/18/2019 20:29,3/18/2019 20:39,577,0
117,110.276695,25.249162,3/18/2019 21:57,3/18/2019 23:49,6713,0
118,110.32772,25.264842,3/19/2019 1:23,3/19/2019 1:45,1281,0
119,110.327659,25.264871,3/19/2019 1:45,3/19/2019 10:48,32582,0
120,110.305404,25.352199,3/19/2019 12:42,3/19/2019 14:15,5563,0
121,110.302482,25.356367,3/19/2019 14:19,3/19/2019 14:42,1372,0.33358478
122,110.300361,25.341888,3/19/2019 14:53,3/19/2019 15:00,386,0
123,110.300354,25.341823,3/19/2019 15:00,3/19/2019 15:05,308,0
124,110.302177,25.32851,3/19/2019 15:14,3/19/2019 15:34,1189,0
125,110.30429,25.317819,3/19/2019 15:41,3/19/2019 16:49,4086,0
126,110.305458,25.318506,3/19/2019 16:51,3/19/2019 18:40,6492,0
127,110.297683,25.303373,3/19/2019 18:53,3/19/2019 19:58,3879,0.222389853
128,110.19342,25.246553,3/20/2019 11:32,3/20/2019 11:51,1191,0
129,110.193443,25.24653,3/20/2019 11:51,3/20/2019 12:15,1412,0
130,110.178558,25.258529,3/20/2019 12:40,3/20/2019 12:49,532,0
131,110.175735,25.23406,3/20/2019 12:56,3/20/2019 13:31,2088,0
132,110.195281,25.246559,3/20/2019 13:39,3/20/2019 14:10,1874,0.222389853
133,110.201866,25.246534,3/20/2019 14:18,3/20/2019 15:18,3559,0
134,110.324195,25.243164,3/20/2019 16:29,3/20/2019 17:32,3745,0
135,110.306365,25.354524,3/20/2019 18:56,3/20/2019 19:12,941,0
136,110.3115,25.316652,3/21/2019 9:19,3/21/2019 9:29,583,0
137,110.304283,25.317708,3/21/2019 9:35,3/21/2019 18:07,30712,0.222389853
138,110.303764,25.352027,3/22/2019 9:57,3/22/2019 10:10,757,0
139,110.507705,24.747655,3/22/2019 13:08,3/22/2019 13:30,1311,0
